case_id,module,case_type,video_id,image_name,frame_index,timestamp_sec,track_id,expected_result,actual_result,root_cause,tags,snapshot_path,added_to_eval_set,review_status,reviewer_note,created_at
RBC-0001,detector,false_positive,demo_crosswalk_reviewed,train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,12,0.40,,No extra Person should be reported,Extra Person box appears near crowd edge,Crowded background and low-confidence silhouette,reviewed;false_positive;crowded_scene,docs/error_case_gallery/images/train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,yes,reviewed,Use as threshold tuning example,2026-06-20T00:00:00+00:00
RBC-0002,detector,false_negative,demo_crosswalk_reviewed,train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,28,0.93,,All visible pedestrians should be detected,Small partially occluded pedestrian missed,Small object and occlusion,reviewed;false_negative;small_object;occlusion,docs/error_case_gallery/images/train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,yes,reviewed,Useful for recall discussion,2026-06-20T00:01:00+00:00
RBC-0003,detector,class_confusion,demo_traffic_reviewed,adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,41,1.37,,Vehicle class should match visible shape,Truck-like vehicle predicted as Car,Similar vehicle scale and viewpoint,reviewed;class_confusion;vehicle,docs/error_case_gallery/images/adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,yes,reviewed,Keep as class taxonomy example,2026-06-20T00:02:00+00:00
RBC-0004,detector,false_positive,demo_traffic_reviewed,adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,55,1.84,,One vehicle box per visible object,Duplicate vehicle-like prediction at lane boundary,Dense traffic and overlapping vehicles,reviewed;false_positive;duplicate_like,docs/error_case_gallery/images/adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,no,reviewed,Not yet added to eval set,2026-06-20T00:03:00+00:00
RBC-0005,detector,false_negative,demo_traffic_reviewed,ea3829da1bcc87ac_jpg.rf.7624b15ed6641b72a7e9cec61dc8d7a2.jpg,63,2.10,,Bus should be detected,Bus instance missed at scene edge,Partial crop and scale change,reviewed;false_negative;bus;edge_object,docs/error_case_gallery/images/ea3829da1bcc87ac_jpg.rf.7624b15ed6641b72a7e9cec61dc8d7a2.jpg,yes,reviewed,Good for edge-object review,2026-06-20T00:04:00+00:00
RBC-0006,detector,class_confusion,demo_traffic_reviewed,adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,80,2.67,,Mini-truck and Truck labels should be separated,Mini-truck counted as Truck,Class boundary ambiguous in dataset labels,reviewed;class_confusion;needs_relabeling,docs/error_case_gallery/images/adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,no,reviewed,Keep out of eval until label policy confirmed,2026-06-20T00:05:00+00:00
RBC-0007,tracker,id_switch,demo_crosswalk_reviewed,1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,96,3.20,7,Pedestrian track id should remain stable,Track id changes after brief overlap,Occlusion and close pedestrian crossing,reviewed;id_switch;occlusion,docs/error_case_gallery/images/1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,yes,reviewed,Representative ID switch case,2026-06-20T00:06:00+00:00
RBC-0008,tracker,track_lost,demo_crosswalk_reviewed,train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,104,3.47,11,Track should continue through short occlusion,Track terminates before object exits,Short occlusion and low confidence detection gap,reviewed;track_lost;occlusion,docs/error_case_gallery/images/train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,yes,reviewed,Use for tracker gap analysis,2026-06-20T00:07:00+00:00
RBC-0009,tracker,id_switch,demo_traffic_reviewed,adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,118,3.94,14,Vehicle track id should stay consistent,ID swaps with adjacent vehicle,Parallel vehicles with similar appearance,reviewed;id_switch;vehicle_overlap,docs/error_case_gallery/images/adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,yes,reviewed,Good ByteTrack comparison example,2026-06-20T00:08:00+00:00
RBC-0010,tracker,track_lost,demo_traffic_reviewed,adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,130,4.34,18,Vehicle track should continue until frame edge,Track lost mid-scene,Detector confidence dip causes tracker fragmentation,reviewed;track_lost;fragmented_track,docs/error_case_gallery/images/adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,no,reviewed,Potential regression case after tracker tuning,2026-06-20T00:09:00+00:00
RBC-0011,counter,count_error,demo_crosswalk_reviewed,train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,145,4.84,7,Line crossing count should increment once,Same track contributes two crossing events,Jitter around line boundary,reviewed;count_error;line_boundary,docs/error_case_gallery/images/train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,yes,reviewed,Use for debounce rule review,2026-06-20T00:10:00+00:00
RBC-0012,counter,count_error,demo_crosswalk_reviewed,1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,158,5.27,12,Crossing count should include object crossing line,No count event emitted,Trajectory starts after line crossing point,reviewed;count_error;late_track_start,docs/error_case_gallery/images/1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,yes,reviewed,Counts need track-start handling note,2026-06-20T00:11:00+00:00
RBC-0013,counter,count_error,demo_traffic_reviewed,adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,170,5.67,22,Vehicle line count should match manual review,One extra vehicle counted,Duplicate detection creates duplicate synthetic track,reviewed;count_error;duplicate_track,docs/error_case_gallery/images/adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,no,reviewed,Do not use for final metric until GT line fixed,2026-06-20T00:12:00+00:00
RBC-0014,roi,roi_membership_error,demo_crosswalk_reviewed,train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,184,6.14,11,Object center should be outside ROI,Track counted inside ROI,ROI boundary too close to pedestrian edge,reviewed;roi_membership_error;roi_boundary,docs/error_case_gallery/images/train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,yes,reviewed,Useful for ROI polygon tuning,2026-06-20T00:13:00+00:00
RBC-0015,roi,roi_config_error,demo_crosswalk_reviewed,1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,195,6.51,5,ROI should cover waiting area only,Moving lane included in ROI,ROI polygon too broad for scene layout,reviewed;roi_config_error;roi_boundary,docs/error_case_gallery/images/1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,no,reviewed,Config example rather than model error,2026-06-20T00:14:00+00:00
RBC-0016,roi,roi_membership_error,demo_traffic_reviewed,adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,207,6.91,14,Vehicle should remain outside parking ROI,Vehicle counted inside ROI due to bbox center,Center-point membership differs from visual footprint,reviewed;roi_membership_error;vehicle,docs/error_case_gallery/images/adit_mp4-205_jpg.rf.dd1e533fc256eb68f835e6bbdf38264d.jpg,yes,reviewed,Candidate for footprint-based ROI rule,2026-06-20T00:15:00+00:00
RBC-0017,event,rule_error,demo_crosswalk_reviewed,train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,220,7.34,7,Crowd warning should require sustained occupancy,Warning emitted on brief spike,Rule lacks minimum duration,reviewed;rule_error;crowd_warning,docs/error_case_gallery/images/train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,yes,reviewed,Use for event duration threshold,2026-06-20T00:16:00+00:00
RBC-0018,event,threshold_error,demo_crosswalk_reviewed,1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,232,7.74,12,Long-stay event should trigger after configured dwell time,Event triggers too early,Threshold lower than scene requirement,reviewed;threshold_error;long_stay,docs/error_case_gallery/images/1c4915190a748798_jpg.rf.0c265452437e4c470eee04c6c8a24fc9.jpg,no,reviewed,Keep as threshold tuning example,2026-06-20T00:17:00+00:00
RBC-0019,event,rule_error,demo_traffic_reviewed,adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,245,8.17,18,Wrong-direction event should follow lane orientation,Event emitted for normal lane motion,Lane direction config mismatch,reviewed;rule_error;wrong_direction,docs/error_case_gallery/images/adit_mp4-2681_jpg.rf.d67b726ee41f513a805b2f4bc8883e58.jpg,yes,reviewed,Good config validation case,2026-06-20T00:18:00+00:00
RBC-0020,event,threshold_error,demo_traffic_reviewed,adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,260,8.68,22,Traffic event should ignore low-confidence short tracks,Event created from unstable short track,Minimum confidence or track length threshold missing,reviewed;threshold_error;short_track,docs/error_case_gallery/images/adit_mp4-2159_jpg.rf.7b25c0dec528514c7a9ada98995d55f0.jpg,no,reviewed,Connect to tracking quality gates,2026-06-20T00:19:00+00:00
RBC-0021,detector,false_positive,demo_crosswalk_reviewed,34910_png_jpg.rf.19d2a7325681540a581832591ad488aa.jpg,272,9.08,,Motorcycle-like background should not be detected,Background object predicted as Motorcycle,Shape similarity and clutter,reviewed;false_positive;motorcycle,docs/error_case_gallery/images/34910_png_jpg.rf.19d2a7325681540a581832591ad488aa.jpg,yes,reviewed,Adds non-person detector coverage,2026-06-20T00:20:00+00:00
RBC-0022,tracker,track_lost,demo_crosswalk_reviewed,train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,286,9.54,7,Person track should remain active until leaving frame,Track lost after crowd overlap,Occlusion and detector miss combine,reviewed;track_lost;crowded_scene,docs/error_case_gallery/images/train_all_data-76-_jpg.rf.9836117b1d78c2e79a4b56222f340e8d.jpg,yes,reviewed,Useful for tracker stress case,2026-06-20T00:21:00+00:00
RBC-0023,counter,count_error,demo_crosswalk_reviewed,train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,294,9.81,11,Counter should not count stationary object,Stationary object counted as crossing,No minimum displacement check before crossing,reviewed;count_error;stationary,docs/error_case_gallery/images/train_all_data-453-_jpg.rf.4c2304c507aca33a59aaf5b10b827d01.jpg,no,reviewed,Candidate for displacement filter,2026-06-20T00:22:00+00:00
RBC-0024,roi,roi_config_error,demo_traffic_reviewed,ea3829da1bcc87ac_jpg.rf.7624b15ed6641b72a7e9cec61dc8d7a2.jpg,300,10.01,30,Bus lane ROI should cover the visible lane,Bus lane ROI misses edge lane,ROI polygon not calibrated for camera view,reviewed;roi_config_error;bus;roi_boundary,docs/error_case_gallery/images/ea3829da1bcc87ac_jpg.rf.7624b15ed6641b72a7e9cec61dc8d7a2.jpg,yes,reviewed,Include in scene calibration checklist,2026-06-20T00:23:00+00:00
